trans_id,lang,translation,category,station_sid,course_sid
リハビリセンター前,zh-ch,复健中心前,stop_name,f142be60-4085-4ead-9564-2b0b75b1e65e,
リハビリセンター前,zh-tw,復健中心前,stop_name,f142be60-4085-4ead-9564-2b0b75b1e65e,
熊野営業所,en,Kumano Eigyosho,stop_name,fc25ef15-0272-4f18-9c3c-526800df4d78,
熊野営業所,ko,구마노 영업소,stop_name,fc25ef15-0272-4f18-9c3c-526800df4d78,
熊野営業所,zh-ch,熊野营业所,stop_name,fc25ef15-0272-4f18-9c3c-526800df4d78,
熊野営業所,zh-tw,熊野營業所,stop_name,fc25ef15-0272-4f18-9c3c-526800df4d78,
立町,ja,立町,stop_name,67bd2414-e36c-486f-959f-56e1f081b437,
立町,en,Tatemachi,stop_name,67bd2414-e36c-486f-959f-56e1f081b437,
立町,ko,다테마치,stop_name,67bd2414-e36c-486f-959f-56e1f081b437,
立町,zh-ch,立町,stop_name,67bd2414-e36c-486f-959f-56e1f081b437,
